"lang"
{
	"Language"	"Russian"
"ToggleShard_Tooltip"						"Выдать выбранным героям Aghanim's Shard"
"ToggleScepter_Tooltip"						"Выдать выбранным героям Aghanim's Scepter"

"donate_button_description_1"				"Для жителей из других стран (НЕ РФ). Банковские карты и Paypal"
"donate_button_description_2"				"Для жителей РФ. (Банковские карты)"
"donate_msg_notification"					"Пополнить донат валюту"

"chatwheel_birzha_null"						"Выберите Звук / Спрей"

"birzha_sound_error"						"Звук можно использовать через: "
"birzha_spray_error"						"Спрей можно использовать через: "
"birzha_toy_error"							"Игрушку можно использовать через: "
"donate_shop_aceept"						"Успешно"		
"donate_shop_error"							"Ошибка"	
"donate_shop_loading"						"Загрузка"	

"item_0"        "+50 DogeCoin"	
"item_161"		"[Смайл] StrangerBan"
"item_136"		"[Смайл] 4elik"
"item_137"		"[Смайл] BirzhaMertva"
"item_138"		"[Смайл] Blin"
"item_139"		"[Смайл] Cat"
"item_140"		"[Смайл] CatSad"
"item_141"		"[Смайл] Clown"
"item_142"		"[Смайл] CoolStory"
"item_143"		"[Смайл] DwayneWut"
"item_144"		"[Смайл] Gachi"
"item_145"		"[Смайл] Head"
"item_146"		"[Смайл] insane"
"item_147"		"[Смайл] KekW"
"item_148"		"[Смайл] Like"
"item_149"		"[Смайл] Micro4el"
"item_150"		"[Смайл] Omegalul"
"item_151"		"[Смайл] Oreh"
"item_152"		"[Смайл] OrehDaun"
"item_153"		"[Смайл] PapichRetard"
"item_154"		"[Смайл] PenguinSuck"
"item_155"		"[Смайл] Pepega"
"item_156"		"[Смайл] PepegaClown"
"item_157"		"[Смайл] RoflanEbalo"
"item_158"		"[Смайл] RoflanPominki"
"item_159"		"[Смайл] Wut"
"item_160"		"[Смайл] WutMeme"
"item_162"		"[Смайл] Stray"
"item_163"		"[Смайл] Микро Кот"
"item_165"      "[Звук] Вот и все долбоеб"
"item_166"      "[Звук] Действительно, блять"
"item_167"      "[Звук] Ты убил моего клоуна"
"item_168"      "[Звук] Это ничего не значит"
"item_169"      "[Звук] Жестко наебал"
"item_170"      "[Звук] Welcome to the CUMzone"
"item_171"      "[Звук] Пошел нахуй гамбургер"
"item_172"      "[Звук] Вот и встретились дебилы"
"item_173"      "[Звук] Отдай шмотку"
"item_174"      "[Звук] Ну не надо, не стукай"
"item_175"      "[Звук] Okay, lets dance"
"item_176"      "[Звук] Алло, дайте покачаться"
"item_177"      "[Звук] Это моя команда"
"item_178"      "[Звук] Еврейский смех"
"item_87" 		"[Звук] Балаанс"
"item_131" 		"[Звук] Дядя не надо"
"item_132" 		"[Звук] Нет, долбоеб"
"item_133" 		"[Звук] Похуй, нет, не похуй"
"item_202"		"[Звук] Что вы мужички творите"
"item_203"		"[Звук] Они зарабатывают миллионы"
"item_204"		"[Звук] Ты оскорбил анимешников"
"item_205"		"[Звук] Я не сосал член !"
"item_206"		"[Звук] Мать сдохла?"
"item_207"		"[Звук] С днем, великой победы"
"item_208"		"[Звук] Ну заплачь !"
"item_209"		"[Звук] Ныыа пид.."
"item_210"		"[Звук] Тупа мочим"
"item_211"		"[Звук] Дааа.. Нееет.."
"item_212"		"[Звук] 1 человек - 9 хуесосов"
"item_213"		"[Звук] Как ты заебал"
"item_214"		"[Звук] Папагемабоди"
"item_215"		"[Звук] Ммм хуета"
"item_216"		"[Звук] Это база"
"item_217"		"[Звук] This is my perfect victory"
"item_218"		"[Звук] Осууждаю !!!"

//=================================================================================================================
// Фонтан и Круг
//=================================================================================================================

"DOTA_Tooltip_ability_ability_fountain"	"Бессмертие"

"DOTA_Tooltip_modifier_fountain_passive"	"Защита"

"DOTA_Tooltip_modifier_fountain_passive_invul"	"Бессмертие"
"DOTA_Tooltip_modifier_fountain_passive_invul_Description"	"Увеличена регенерация здоровья и маны. Герой неуязвим в радиусе действия фонтана"

"DOTA_Tooltip_modifier_get_xp"	"Сильная Аура Мемов"
"DOTA_Tooltip_modifier_get_xp_Description"	"Находясь в круге, вы получаете больше опыта и золота"

"DOTA_Tooltip_modifier_get_xp_global"	"Аура мемов"
"DOTA_Tooltip_modifier_get_xp_global_Description"	"Вы получаете опыт и золото"

//=================================================================================================================
// Панорама
//=================================================================================================================

"endtimertext"									"Время до конца игры <br><br> Стартует после отключения фонтана и сбрасывается при смерти любого героя"
"gametime"										"Время до награды <br><br> Награда появляется в центре карты <br><br>За 10 сек. до появления награды, в центре проявляется вся невидимость на 12 сек.<br><br>Предметы делятся на 4 разряда<br>1 разряд - Предметы от 500 до 1500 золота ( Выпадает до 6 минуты )<br>2 разряд - Предметы от 1500 до 3000 золота ( Выпадает с 6 минуты до 12 минуты )<br>3 разряд - Предметы от 3000 до 4500 золота ( Выпадает с 12 минуты до 18 минуты )<br>4 разряд - Предметы от 4500 до 6000 золота ( Выпадает с 18 минуты до конца игры )<br><br><h1>После 5 минуты игры</h1>Лидер всегда получает предмет на разряд меньше текущего<br><br>Последнее место в игре получает предмет на разряд больше текущего, в Solo режиме последние 2 места"
"gametimename"									"Время игры <br><br> День и ночь меняются каждые 5 минут игры"
"fountaintime"									"Время действия фонтана <br><br> После окончания времени, фонтан перестает атаковать врагов"
"gamekills"										"Очков для победы <br><br>Убийство - 1 очко<br>Убийство Босса - 5 очков"

"OpenGameInfo"									"Открыть информацию об игре"
"CloseGameInfo"									"Закрыть информацию об игре"

"TopMmrPlayersSeasonLabel"						"Топ игроки прошлого сезона"

"aviableforbp"	"Двойной рейтинг доступен в BIRZHA PLUS"
"moreban_aviablefordonaters"	"Донатеры от 800 рублей имеют 4 бана<br><br>Донатеры от 4000 рублей имеют 6 банов"

"ban_count_information"         "<b>Количество банов</b><br><br>Донатеры от <font color='#fffc00'>800 рублей</font> имеют <font color='#fffc00'>4</font> дополнительных бана<br><br>Донатеры от <font color='#fffc00'>4000 рублей</font> имеют <font color='#fffc00'>6</font> дополнительных банов"

"BristekekDeath" "<b>Система боссов</b><br><br>Босс BristleKEK был убит, команда убийцы получает 10 очков"
"LolBladeDeath"	"<b>Система боссов</b><br><br>Босс LolBlade был убит, команда убийцы получает 10 очков"
"fountainoff"	"<b>Система Фонтана</b><br><br>Фонтан отключен и больше не защищает вас. При получении урона, отключается регенерация на 5 сек."

"LoadingDonate"										"Если вы хотите помочь проекту и ускорить будущие обновления, вы можете поддержать меня и получить внутриигровые награды"
"BirzhaInfoOne"										"За каждую сыгранную игру вы получаете 250 + %бустеров очков опыта. За победу вы получаете дополнительно 500 очков опыта"
"BirzhaInfoTwo"										"С 9 уровня вы получаете первого питомца - Baby Roshan. Он следует за вами всю игру. При получении другого питомца, его можно сменить в меню Питомцы"

"pets"	                                            "Питомцы"
"effects"                                           "Эффекты"
"items"                                             "Предметы"
"birzha_new"                                        "Новое"
"birzha_coming"                                     "Скоро"
"double_rating_claim"                               "Двойная ставка рейтинга"   
"double_rating_description"                         "Каждый подписчик <font color='gold'>BIRZHA PLUS</font> может пойти на риск и воспользоваться токеном удвоения рейтинга<br>Он дает возможность <font color='#2fff5c'>получить</font> или <font color='red'>потерять</font> в два раза больше очков рейтинга"
"double_rating_time_info"                           "Токены обновляются каждую неделю"
"double_rating_count_tokens"                        "На данный момент у вас"
"double_rating_no_subs"                             "Ваш срок подписки истек или закончились доступные токены"

"system_leader_kill"                                "<b>Убийство лидера</b><br><br>"

"gamble_Strength"			"Сила: "
"gamble_Agility"			"Ловкость: "
"gamble_Intellect"			"Интеллект: "
"gamble_Damage"				"Урон: "
"gamble_Attackspeed"		"Скорость атаки: "
"gamble_Movespeed"			"Скорость передвижения: "
"gamble_Armor"				"Броня: "
"gamble_Magicresist"		"Сопротивление магии: "
"gamble_Regenhp"			"Регенерация здоровья: "
"gamble_Regenmana"			"Регенерация маны: "
"gamble_Magicdamage"		"Магический урон: "

"gamble_lifesteal"	"Вампиризм: "
"gamble_cooldown"	"Уменьшение перезарядки: "
"gamble_evasion"	"Уклонения: "
"gamble_mainattribute"	"Увеличение осн. атрибута: "
"gamble_statusresist"	"Сопротивление эффектам: "
"gamble_outgoingdmg"	"Исходящий урон: "

"npc_unit_roga"			"Рогатый"

"HeroBPProgressAviableBPPlus"	"Уровень героя доступен в BIRZHA PLUS"
"HeroRankTitle"					"Уровень героя"
"BP_rank_0"						"Неизвестно"
"BP_rank_1"						"Бронза"
"BP_rank_2"						"Серебро"
"BP_rank_3"						"Золото"
"BP_rank_4"						"Платина"
"BP_rank_5"						"Мастер"
"BP_rank_6"						"ГрандМастер"
"BP_rank_7"						"Монстр"

"HeroProgressBirzha"			"Прогресс уровня:"
"HeroProgressBirzha1"			"Прогресс уровня героя"
"HeroProgressBirzhaLevel"		"Уровень:"
"Info_HInfo_HeroRank"			"Уровень"



"Report_Info"	"Игрок получивший 5 жалоб получает эффект увеличивающий получаемый урон и уменьшающий исходящий урон на 10 дней. На данный момент жалобы засчитываются в режиме Solo и на тиммеров"
"Report_Close"	"Закрыть"
"Report_Report"	"Пожаловаться"
"Report_count"	"Осталось жалоб: "



"dota_hud_error_roscom_midas"	"Временно не может быть целью"
"dota_hud_error_migi_inside"	"Временно не может быть целью"



"Sovetsforyou"												"Наш Discord канал"
"Sovetsforyou_discord"										"Хотите узнать как играть на определенном персонаже? Пообщаться или найти тиммейта для совместных игр? То все это в нашем Discord канале"
"Contributepanel"											"Поддержка разработчиков"
"Updatename"												"Новое обновление - Биржа мертва 06.09.23"
"Updatedescription"											"Нажмите чтобы прочитать"

"bppanelfsub"	"Награды для подписчиков"
"bppanelffree"	"Бесплатные награды"

"subscribe"	"Подписка:"
"subscribeTrue"	"Активна"
"subscribeFalse"	"Не активна"

"vip_effect_description"			"Vip Эффект <br><br> <font color='#fffc00'>Как получить: </font> Выдается всем донатерам от 10$"
"premium_effect_description"		"Premium Эффект <br><br> <font color='#fffc00'>Как получить: </font> Выдается всем донатерам от 50$"	
"leader_effect_description"			"Rating Эффект <br><br> <font color='#fffc00'>Как получить: </font> Выдается всем игрокам, кто входил в топ 3 рейтинга прошлого сезона"
"gob_effect_description"			"Developer Эффект"
"dragonball_effect_description"		"Dragonball Эффект"	
"top_season_13_effect_description"	"Лучший игрок 13 сезона"


"effect_donater"                    "Донатер"
"effect_top_donater"                "Топ донатер"
"effect_developer"                  "Разработчик"
"effect_unique"                     "Dragonball"
"leader_season_12"                  "Лидер 12 сезона"
"leader_season_13"                  "Лидер 13 сезона"
"leader_season_14"                  "Лидер 14 сезона"
"effect_locked"                     "Недоступно"

//=================================================================================================================
// Донат
//=================================================================================================================

"npc_top_season"	"Топ Сезона"
"sozdatel_StrangeR"	"StrangeR"
"sozdatel_UblueWolf"	"UblueWolfu"
"sozdatel_rolla"	"Rolla"
"donater_top1"	"Dim4ik"
"donater_top2"	"Sion Atlasia"
"donater_top3"	"Kw1te"
"donater_top4"	"FoKuSnIk"
"donater_top5"	"Enjoy The silence"
"donater_top6"	"Insane"
"donater_top7"	"EVGENI"
"donater_top8"	"AroundSpite"
"donater_top9"	"L i N K"

"DOTA_Tooltip_modifier_birzha_gob"	"GOB" 
"DOTA_Tooltip_modifier_birzha_gob_Description"	"Разработчик BIRZHA MEMOV"

"DOTA_Tooltip_modifier_birzha_premium"								"Premium"
"DOTA_Tooltip_modifier_birzha_premium_Description"					"Игрок сделал огромный вклад в развитие кастомки"

"DOTA_Tooltip_modifier_birzha_vip"	"Донатер" 
"DOTA_Tooltip_modifier_birzha_vip_Description"	"Пожертвовал больше 10$ для развития кастомки"

"DOTA_Tooltip_modifier_birzha_loser"	"Нечестный игрок" 
"DOTA_Tooltip_modifier_birzha_loser_Description"	"Количество дней блокировки за жалобы от игроков. Вы будете получать на 50%% больше урона и наносить на 50%% меньше"

//=================================================================================================================
// Магазин
//=================================================================================================================

"shop_main" "Главная"
"shop_heroesitems" "Для героев"
"shop_items" "Предметы"
"shop_pets" "Питомцы"
"shop_particles" "Эффекты"
"shop_sounds"		"Звуки"
"shop_sprays"		"Спреи"
"shop_borders"		"Рамка игрока"

"shop_no_bitcoin"	"Мало Bitcoins"
"shop_no_player_data"	"Сервер не подключился"
"shop_no_dogecoin"	"Мало Dogecoins"


"birzhaplus_subscriber"     "Подписчик BIRZHA PLUS - Осталось "



"ads_name_1" "Новый предмет"

"shop_recomended" "Популярные предметы"

"shop_all" "Все предметы"
"shop_subscribe" "BIRZHA PLUS"
"shop_currency" "Валюта"

"shop_activate" "Включить"
"shop_deactivate" "Выключить"

"shop_bought"	"Куплен"
"shop_buy"		"Купить"

"Leaderboard_button"	"Лидеры"
"shop_button"	"Магазин"
"bp_button"		"Battlepass"
"birzhaplus_button"	"BIRZHA+"

"PlayerBPInfo"	"Информация"
"PlayerStats"   "Статистика"

"info_player_allgames"		"Игр сыграно"
"info_player_wimgames"		"Побед"
"info_player_losegames"		"Поражений"
"info_player_best_hero"		"Лучшие герои"
"info_player_kills_count_game"		"Убийств за все время"
"info_player_death_count_game"		"Смертей за все время"

"info_player_subscribe" "Подписка"
"info_player_tokens"	"Количество токенов"

"PlayerWinrate"			"Процент побед"
"Plus_Statistic"		"Статистика"
"Plus_Heroes"			"Статистика ваших героев"
"YourRatingSeasons"     "Ваш рейтинг в прошлых сезонах"
"Season"				"Сезон"

"BuySubscribeBP" "Купите подписку в магазине для доступа к статистике. Она будет работать лишь в следующей игре !"


"Info_HeroName"	"Герой"
"Info_HeroGames"	"Игры"
"Info_HeroWinrate"	"Winrate"
"Info_HeroKD"	"KD"

"shop_dogecoinsitems" "Предметы за DC"
"shop_banners"		  "Рамки"
"shop_chatwheel"		"Колесо"
"shop_ruletka"			"Лотерея"
"lottery_open"			"Крутить"

"ty_preorder"			"Вы уже сделали предзаказ<br>Спасибо вам !"
"preorder"				"Предзаказ 50% скидка<br>Выход 31 декабря"

"pet_1"										"Baby Roshan"										
"pet_2"										"Donkey Trio"									
"pet_3"										"Mechjaw"	
"pet_4"										"Huntling"	
"pet_5"										"Devourling"
"pet_6"										"Seekling"
"pet_7"										"Venoling"
"pet_8"										"Amaterasu"
"pet_9"										"Beaver Knight"
"pet_10"									"Nian"
"pet_11"									"Faceless Rex"
"pet_12"									"IceWrack Wolf"
"pet_13"									"Mini Pudge"
"pet_14"									"Shagbark"
"pet_15"									"Cat"
"pet_16"									"Ice Frog"
"pet_17"									"Axolotl"
"pet_18"									"Teron"
"pet_19"									"Lockjaw"
"pet_20"									"Banana Cat"

"pet_187"									"Микрочел Dovolen"
"pet_188"									"Микрочел Roflan"
"pet_189"									"Amogus"
"pet_190"									"Maxwell Кот"
"pet_191"									"Pochita"
"pet_192"									"Убийца Squad Game"
"pet_193"									"Мини Мегумин"

"pet_1_description"										"Питомец будет бегать за вами всю игру"									
"pet_2_description"										"Питомец будет бегать за вами всю игру"								
"pet_3_description"										"Питомец будет бегать за вами всю игру"
"pet_4_description"										"Питомец будет бегать за вами всю игру"
"pet_5_description"										"Питомец будет бегать за вами всю игру"
"pet_6_description"										"Питомец будет бегать за вами всю игру"
"pet_7_description"										"Питомец будет бегать за вами всю игру"
"pet_8_description"										"Питомец будет бегать за вами всю игру"
"pet_9_description"										"Питомец будет бегать за вами всю игру"
"pet_10_description"									"Питомец будет бегать за вами всю игру"
"pet_11_description"									"Питомец будет бегать за вами всю игру"
"pet_12_description"									"Питомец будет бегать за вами всю игру"
"pet_13_description"									"Питомец будет бегать за вами всю игру"
"pet_14_description"									"Питомец будет бегать за вами всю игру"
"pet_15_description"									"Питомец будет бегать за вами всю игру"
"pet_16_description"									"Питомец будет бегать за вами всю игру"
"pet_17_description"									"Питомец будет бегать за вами всю игру"
"pet_18_description"									"Питомец будет бегать за вами всю игру"
"pet_19_description"									"Питомец будет бегать за вами всю игру"
"pet_20_description"									"Питомец будет бегать за вами всю игру"

"subscribe_1"					"Подписка 30 дней"
"subscribe_1_description"	 	"С подпиской вы получаете: Выбор некоторых героев, статистика по героям, накопление уровней героев, токены удвоения рейтинга и в 2 раза больше Dogecoin"

"subscribe_2"					"Подписка 180 дней"
"subscribe_2_description"	 	"С подпиской вы получаете: Выбор некоторых героев, статистика по героям, накопление уровней героев, токены удвоения рейтинга и в 2 раза больше Dogecoin"

"subscribe_big_name" 			 "Подписка включает в себя:"
"subscribe_big_name_description" "• Выбор некоторых героев<br><br>• Статистика по героям<br><br>• Накопление уровней героев<br><br>• Токены удвоения рейтинга<br><br>• В 2 раза больше Dogecoin<br><br>• Возможность похвалить игрока"


"bp_reward_inf1"                        "Выбор уникальных героев"
"bp_reward_inf1_description"            "У вас появляется возможность выбрать героев доступных только с подпиской. Такие герои обновляются каждую неделю"

"bp_reward_inf2"                        "Статистика игрока"
"bp_reward_inf2_description"            "Отслеживайте свою статистику по героям, сколько вы игр сыграли и не только"

"bp_reward_inf3"                        "Уровни героев"
"bp_reward_inf3_description"            "За каждую игру вы будете прокачивать уровень своего героя. Удиви врагов своим умением на определенном персонаже"

"bp_reward_inf4"                        "Удвоение рейтинга"
"bp_reward_inf4_description"            "Перед началом игры вы можете сделать ставку на удвоение рейтинга. Токены двойного рейтинга обновляются каждую неделю"

"bp_reward_inf5"                        "Похвалы"
"bp_reward_inf5_description"            "Неважно, как вы используете похвалы — чтобы порадоваться с союзником или чтобы отметить отличную игру противника"

"bp_reward_inf6"                        "Больше Собачек"
"bp_reward_inf6_description"            "За каждую игру вы будете получать в два раза больше Dogecoins"

"ButtonBuySubscribeHead"				"Приобрести подписку (РФ)"
"ButtonBuySubscribeHead2"				"Приобрести подписку (НЕ РФ)"
"ButtonBuySubscribeHeadDescirption"		""
"ButtonBuySubscribeHeadDescirption2"	""	

"particle_1"  "Эффект старта игры"
"particle_2"  "Эффект Балдежа"
"particle_3"  "Эффект Смерти"
"particle_4"  "Эффект Балдежа 2"
"particle_5"  "Эффект Балдежа 3"
"particle_6"  "Эффект Регенерации Фонтана"
"particle_7"  "Эффект ABIBAS"
"particle_8"  "Эффект Гейской Бабочки"
"particle_9"  "Эффект Blink Boots"
"particle_10" "Эффект Angel Boots"
"particle_11" "Эффект Уебатора Ярости"
"particle_12" "Drodo от FrostMourne"
"particle_13" "Эффект Мега Спиннера"

"particle_1_description"  "Выделяйся на старте игры"
"particle_2_description"  "Удиви врага новым эффектом Балдежа"
"particle_3_description"  "Погибай с красочным эффектом"
"particle_4_description"  "Удиви врага новым эффектом Балдежа"
"particle_5_description"  "Удиви врага новым эффектом Балдежа"
"particle_6_description"  "Будь красивым не только в бою, но и базе"
"particle_7_description"  "Убегай или догоняй эффектно"
"particle_8_description"  "Покажи кто тут настоящий Dungeon Master"
"particle_9_description"  "Красивый эффект телепортации"
"particle_10_description" "Испугай врага защищая свою команду"
"particle_11_description" "Враг подумал, что убил вас? Он испугается с новым эффектом Уебатора Ярости"
"particle_12_description" "Свинья уже не модно, превращай врага в Drodo от предмета Frostmourne"
"particle_13_description" "Добавляет модель спиннера при срабатывании предмета"

"item_for_scp"							"Стиль SCP-173"	
"item_for_silvername"					"Облик SilverName"			
